Date;SO;GS;IS
2007-02-01;49527;56047;51844
2007-02-02;65653;50282;45481
2007-02-03;45242;45962;41020
2007-02-04;0;136;0
2007-02-06;63705;64543;65466
2007-02-07;71061;52620;47547
2007-02-08;197623;50725;48746
2007-02-09;114181;104316;96527
2007-02-10;48234;69415;62948
2007-02-11;0;793;0
2007-02-13;60546;59721;59895
2007-02-14;64012;54346;53564
2007-02-15;72413;223541;187501
2007-02-16;547694;66740;63051
2007-02-17;78711;68243;74459
2007-02-18;3671;791;0
2007-02-19;2079;0;0
2007-02-20;44185;27789;24946
2007-02-21;37223;72998;71294
2007-02-22;47030;76489;57579
2007-02-23;278506;254277;254983
2007-02-24;83045;60722;60832
2007-02-25;142;336;0
2007-02-27;91517;88276;87724
2007-02-28;55729;61173;75177
2007-02-29;81049;65707;64673
2007-03-01;73929;70509;71229
2007-03-02;59182;65179;56985
2007-03-03;2;242;0
2007-03-05;94115;77850;74964
2007-03-06;67283;81186;70334
2007-03-07;105597;84349;81966
2007-03-08;121112;108611;75277
2007-03-09;128967;127804;146195
2007-03-10;0;440;0
2007-03-12;114141;129707;144925
2007-03-13;91398;85313;80823
2007-03-14;152685;75293;66744
2007-03-15;72335;71064;69634
2007-03-16;101659;93890;93769
2007-03-17;0;475;0
2007-03-19;92862;96119;191998
2007-03-20;179124;100872;71023
2007-03-21;103291;83355;84795
2007-03-22;88354;88541;89181
2007-03-23;77416;104988;110383
2007-03-24;4250;390;0
2007-03-26;197525;115199;113084
2007-03-27;147740;91618;85096
2007-03-28;232405;129350;114442
2007-03-29;68379;98217;87423
2007-03-30;124052;94102;94216
2007-03-31;0;397;0
2007-04-02;87930;96708;88188
2007-04-03;65397;169606;132491
2007-04-04;96153;105460;97084
2007-04-05;67536;116496;115942
2007-04-06;83351;78068;67066
2007-04-07;0;2022;0
2007-04-09;0;5601;0
2007-04-10;98612;83870;83214
2007-04-11;90978;118683;132851
2007-04-12;86855;120561;104255
2007-04-13;58662;276976;296558
2007-04-14;0;586;0
2007-04-16;83910;93488;104352
2007-04-17;67822;99963;78334
2007-04-18;81385;106736;123662
2007-04-19;106661;96331;100610
2007-04-20;267845;68801;69578
2007-04-21;0;966;0
2007-04-22;8777;0;0
2007-04-23;86028;85636;84422
2007-04-24;126299;94840;88138
2007-04-25;71475;91503;89771
2007-04-26;69873;68054;60850
2007-04-27;73946;42354;43960
2007-04-28;0;292;0
2007-04-30;33234;2010;0
2007-05-01;65150;95460;304
2007-05-02;76726;114903;175461
2007-05-03;60414;76287;68239
2007-05-04;36037;56870;55635
2007-05-05;0;1482;0
2007-05-06;3337;0;0
2007-05-07;72106;78468;92826
2007-05-08;62724;46779;57873
2007-05-09;63225;71552;68094
2007-05-10;69534;66745;61953
2007-05-11;46681;88602;74819
2007-05-12;0;216;0
2007-05-14;99685;133933;126888
2007-05-15;90542;83259;78570
2007-05-16;89993;55625;61128
2007-05-17;1054;1375;0
2007-05-18;26355;64;0
2007-05-21;100420;98856;95422
2007-05-22;191057;78371;108183
2007-05-23;87908;240193;238151
2007-05-24;85621;92485;90978
2007-05-25;123368;56630;60787
2007-05-26;0;2176;0
2007-05-28;3128;263;0
2007-05-29;71347;92131;91223
2007-05-30;98231;97853;99178
2007-05-31;112329;115421;111133
